FID,FID_1,GEOID,Count_,GEOID_1,partyRatio,GEOID_12,HHmedIncom,GEOID_1_13,normScore,Count_1,Sum_FID_,Sum_X_Long,Sum_Y_Lati
65,65,12111382010,0,12111382010,1.453874539,12111382010,35469,12111382010,0.854241,0,0,0,0
66,66,12111381602,0,12111381602,1.146713615,12111381602,35776,12111381602,0.78506,0,0,0,0
67,67,12111381000,0,12111381000,1.460342146,12111381000,42891,12111381000,0.809897,0,0,0,0
68,68,12111381204,0,12111381204,1.680045872,12111381204,57452,12111381204,0.964388,0,0,0,0
69,69,12111381300,0,12111381300,1.666327569,12111381300,66917,12111381300,0.90115,0,0,0,0
70,70,12086001203,0,12086001203,0.149683767,12086001203,33996,12086001203,0.436754,0,0,0,0
71,71,12086001401,0,12086001401,0.083451202,12086001401,21303,12086001401,0.709533,0,0,0,0
72,72,12086001402,0,12086001402,0.104186952,12086001402,23771,12086001402,0.604862,0,0,0,0
73,73,12086001501,0,12086001501,0.028368794,12086001501,18092,12086001501,0.75167,0,0,0,0
74,74,12086001502,0,12086001502,0.047619048,12086001502,22917,12086001502,0.602614,0,0,0,0
75,75,12086001602,0,12086001602,1.651651652,12086001602,41959,12086001602,0.835499,0,0,0,0
76,76,12099007723,0,12099007723,1.138888889,12099007723,123276,12099007723,0.947058,0,0,0,0
77,77,12099007724,0,12099007724,1.024793388,12099007724,83194,12099007724,0.678506,0,0,0,0
78,78,12099007725,0,12099007725,0.868868383,12099007725,90761,12099007725,0.659871,0,0,0,0
79,79,12099007730,0,12099007730,0.811842833,12099007730,104755,12099007730,0.802521,0,0,0,0
80,80,12099007732,0,12099007732,0.577799802,12099007732,48654,12099007732,0.627518,0,0,0,0
81,81,12099007733,0,12099007733,0.629707113,12099007733,81144,12099007733,0.750296,0,0,0,0
82,82,12099007734,0,12099007734,0.881333333,12099007734,105063,12099007734,0.855161,0,0,0,0
83,83,12099007735,0,12099007735,0.929341317,12099007735,136046,12099007735,0.780856,0,0,0,0
84,84,12117021708,0,12117021708,0,12117021708,66471,12117021708,0.65866,0,0,0,0
85,85,12086001703,0,12086001703,0.704057279,12086001703,21722,12086001703,0.530068,0,0,0,0
86,86,12086001702,0,12086001702,0.111111111,12086001702,24054,12086001702,0.501654,0,0,0,0
87,87,12117020811,0,12117020811,0.8250281,12117020811,62708,12117020811,0.550026,0,0,0,0
88,88,12117021707,1,12117021707,0.698412698,12117021707,54236,12117021707,0.572795,0,0,0,0
89,89,12117021806,1,12117021806,0.858339984,12117021806,45212,12117021806,0.677403,0,0,0,0
90,90,12071050207,0,12071050207,0,12071050207,83977,12071050207,0.89526,0,0,0,0
91,91,12071050311,0,12071050311,2.066577896,12071050311,95440,12071050311,0.855349,0,0,0,0
92,92,12071050103,0,12071050103,0,12071050103,72833,12071050103,0.956968,0,0,0,0
93,93,12101031401,0,12101031401,1.103743316,12101031401,36722,12101031401,0.758494,1,0,-82.71677775,28.25009304
94,94,12101031405,0,12101031405,1.129124821,12101031405,31875,12101031405,0.732067,0,0,0,0
95,95,12101031503,0,12101031503,1.085393258,12101031503,45000,12101031503,0.838402,0,0,0,0
96,96,12091022900,0,12091022900,2.45,12091022900,56434,12091022900,0.540381,0,0,0,0
97,97,12091023100,0,12091023100,2.068535826,12091023100,68486,12091023100,0.561681,0,0,0,0
98,98,12091023200,0,12091023200,2.680451128,12091023200,69598,12091023200,0.83183,0,0,0,0
99,99,12115002402,0,12115002402,1.142191142,12115002402,51799,12115002402,0.856212,0,0,0,0
100,100,12115002504,0,12115002504,1.1875,12115002504,51135,12115002504,0.923787,0,0,0,0
101,101,12011980000,0,12011980000,0,12011980000,0,12011980000,0,0,0,0,0
102,102,12011050205,0,12011050205,0.529978118,12011050205,56181,12011050205,0.805755,0,0,0,0
103,103,12011050207,3,12011050207,0.190425532,12011050207,46724,12011050207,0.391247,0,0,0,0
104,104,12011010504,0,12011010504,0.733657858,12011010504,106250,12011010504,0.647374,0,0,0,0
105,105,12011020101,0,12011020101,0.408602151,12011020101,47878,12011020101,0.473224,0,0,0,0
106,106,12011030802,0,12011030802,0.652647975,12011030802,49238,12011030802,0.564408,0,0,0,0
107,107,12011040101,0,12011040101,0,12011040101,44615,12011040101,0.825288,0,0,0,0
108,108,12011043001,0,12011043001,0.885,12011043001,96094,12011043001,0.943218,0,0,0,0
109,109,12011050602,0,12011050602,0.371527778,12011050602,43201,12011050602,0.505546,0,0,0,0
110,110,12011050701,0,12011050701,0.176744186,12011050701,47824,12011050701,0.384647,0,0,0,0
111,111,12011050702,0,12011050702,0.343550447,12011050702,34667,12011050702,0.376204,0,0,0,0
112,112,12011050800,0,12011050800,0.055248619,12011050800,35526,12011050800,0.690799,0,0,0,0
113,113,12011060105,0,12011060105,0.240862231,12011060105,46717,12011060105,0.382408,0,0,0,0
114,114,12011060107,0,12011060107,0.238046796,12011060107,36615,12011060107,0.396252,0,0,0,0
115,115,12001001201,0,12001001201,0.573847601,12001001201,69904,12001001201,0.536253,0,0,0,0
116,116,12011060109,0,12011060109,0.300129366,12011060109,52440,12011060109,0.46478,0,0,0,0
117,117,12001000400,2,12001000400,0,12001000400,36589,12001000400,0.384091,0,0,0,0
118,118,12067960200,0,12067960200,3.390962672,12067960200,32320,12067960200,0.681522,0,0,0,0
119,119,12067960100,0,12067960100,4.178571429,12067960100,42358,12067960100,0.59663,0,0,0,0
120,120,12001001000,0,12001001000,0.295676998,12001001000,41912,12001001000,0.834474,0,0,0,0
121,121,12001001400,1,12001001400,0.145875937,12001001400,42448,12001001400,0.477234,0,0,0,0
122,122,12001001802,3,12001001802,0.482758621,12001001802,25288,12001001802,0.497217,0,0,0,0
123,123,12001002101,2,12001002101,0.689807976,12001002101,57222,12001002101,0.618002,0,0,0,0
124,124,12001002000,0,12001002000,1.215917465,12001002000,43988,12001002000,0.582927,0,0,0,0
125,125,12001002201,0,12001002201,1.353125,12001002201,62208,12001002201,0.623379,0,0,0,0
126,126,12001001805,1,12001001805,0,12001001805,83382,12001001805,0.707983,0,0,0,0
127,127,12093910602,0,12093910602,3.179487179,12093910602,52361,12093910602,0.826334,0,0,0,0
128,128,12093910102,0,12093910102,3.319587629,12093910102,38750,12093910102,0.931709,0,0,0,0
129,129,12093910202,0,12093910202,0,12093910202,36818,12093910202,0.796998,0,0,0,0
130,130,12093910401,0,12093910401,2.214814815,12093910401,38523,12093910401,0.843319,0,0,0,0
131,131,12093910101,0,12093910101,1.552178318,12093910101,45380,12093910101,0.628948,0,0,0,0
132,132,12093910201,1,12093910201,3.525510204,12093910201,37451,12093910201,0.712254,0,0,0,0
133,133,12111382109,0,12111382109,1.382803632,12111382109,74947,12111382109,0.755506,0,0,0,0
134,134,12111382110,0,12111382110,0.915670651,12111382110,63815,12111382110,0.681561,0,0,0,0
135,135,12111382113,0,12111382113,0.778330373,12111382113,61235,12111382113,0.549315,0,0,0,0
136,136,12111382106,0,12111382106,0.673698214,12111382106,62297,12111382106,0.479979,0,0,0,0
137,137,12111381803,0,12111381803,0,12111381803,62750,12111381803,0.687923,0,0,0,0
138,138,12001001202,0,12001001202,0.516768293,12001001202,67400,12001001202,0.578752,0,0,0,0
139,139,12001002202,0,12001002202,1.095756257,12001002202,98875,12001002202,0.794493,0,0,0,0
140,140,12001001801,1,12001001801,1.076999013,12001001801,57078,12001001801,0.655102,1,0,-82.59698195,29.82702787
141,141,12001002209,0,12001002209,0.726050999,12001002209,66974,12001002209,0.63965,0,0,0,0
142,142,12001001203,0,12001001203,0.443208896,12001001203,49138,12001001203,0.493574,0,0,0,0
143,143,12001001902,0,12001001902,0.15558838,12001001902,24833,12001001902,0.476157,0,0,0,0
144,144,12001002210,1,12001002210,1.720990874,12001002210,67094,12001002210,0.661154,0,0,0,0
145,145,12001001806,0,12001001806,1.695005314,12001001806,54548,12001001806,0.685857,0,0,0,0
146,146,12011042800,0,12011042800,0.09631728,12011042800,37169,12011042800,0.491973,0,0,0,0
147,147,12011042900,0,12011042900,0.058780037,12011042900,48011,12011042900,0.556345,0,0,0,0
